loan_amnt
int_rate
installment
annual_inc
dti
delinq_2yrs
inq_last_6mths
mths_since_last_delinq
mths_since_last_record
open_acc
pub_rec
revol_bal
revol_util
total_acc
collections_12_mths_ex_med
mths_since_last_major_derog
policy_code
acc_now_delinq
tot_coll_amt
tot_cur_bal
total_rev_hi_lim
has_delinquency
has_public_record
has_major_derog
loan_to_income_ratio
dti_util_stress
revol_balance_to_income
high_util_flag
extreme_util_flag
revol_limit_utilization
delinq_severity_score
multiple_inquiries
no_recent_inquiry
multiple_delinq_flag
has_collections
thin_credit_file
long_term_loan
credit_history_months
accts_per_credit_year
util_x_delinq
dti_x_loan_to_income
inq_x_util
sub_grade_numeric
term
grade
sub_grade
emp_length
home_ownership
verification_status
purpose
addr_state
initial_list_status
application_type
